Experiment ID,Model,Question,syntax_ok,max_cyclomatic_complexity,total_cyclomatic_complexity,maintainability_index,raw_loc,raw_lloc,raw_sloc,raw_comments,raw_multi,raw_blank,raw_single_comments,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_calculated_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
d9c995c1-8a64-4ca6-bf4a-703ab4172be1,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,10,10,88.33240736852458,45,23,23,17,0,5,17,2,4,3,5,6,8,10.0,20.67970000576925,1.25,25.84962500721156,1.43609027817842,0.0068932333352564
7c39c046-9049-4844-a7af-0a7a8a149383,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,8,8,89.97537301312454,39,19,19,14,0,7,13,3,5,3,5,8,8,16.36452797660028,24.0,1.5,36.0,2.0,0.008
ce33d531-d08d-4b9e-8658-9bc5569fdb4f,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,7,7,89.93802289212299,34,18,18,11,0,5,11,3,7,4,7,10,11,24.40637195656669,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.0121804030145869
8a7f45e9-aa67-4ce1-8a7a-09f2aa04fc6b,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,9,9,89.79942081839191,39,20,20,14,0,5,14,2,5,3,5,7,8,13.60964047443681,22.45883937646084,1.0,22.45883937646084,1.2477132986922683,0.0074862797921536
cf8fe2ec-062b-4f8c-ab4e-4171f16437f9,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,14,55.17154824565088,36,33,33,0,0,3,0,2,5,3,6,7,9,13.60964047443681,25.26619429851844,1.2,30.319433158222125,1.6844129532345624,0.0084220647661728
0d768551-fc8e-43d8-956a-bfe60aae1580,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,8,8,87.50707905815962,40,22,22,13,0,5,13,2,6,5,9,8,14,17.509775004326936,42.0,1.5,63.0,3.5,0.014
1c89b6d5-1d31-4508-9eda-fb68c66b66d5,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,8,8,86.59478882458419,32,22,22,5,0,5,5,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
cf22443a-3842-4c8e-a64d-e2348e6ed2b0,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,4,10,60.23350491538324,44,36,38,0,0,6,0,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211
b2af8810-987d-4e5e-a9c9-c4b2a48004df,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,7,7,88.77566658153332,43,23,23,15,0,5,15,3,5,3,5,8,8,16.36452797660028,24.0,1.5,36.0,2.0,0.008
37447881-fab2-464f-becc-25b65d43fd9a,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,6,6,90.23304899811858,41,21,20,13,0,8,13,2,4,3,5,6,8,10.0,20.67970000576925,1.25,25.84962500721156,1.43609027817842,0.0068932333352564
528cc48f-eab2-43b5-b636-956e3f20c7c9,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,16,16,78.42027272945701,64,31,31,24,0,9,24,5,20,11,21,25,32,98.04820237218406,148.60339807279118,2.625,390.0839199410768,21.67132888561538,0.0495344660242637
a1885f04-4959-448a-b7f6-9d0d5bf7b410,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,13,17,47.50039026494445,49,44,44,0,0,5,0,6,17,9,17,23,26,84.99664330558272,117.61261085748234,3.0,352.83783257244704,19.60210180958039,0.0392042036191607
85d8f8b0-a126-4548-b02b-c0686c5e3d42,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,8,13,52.10812624925662,45,40,40,0,0,5,0,3,8,4,8,11,12,28.75488750216347,41.51317942364757,1.5,62.26976913547136,3.4594316186372978,0.0138377264745491
e5a3d36c-f371-4382-8edc-af0bbbb5dc6e,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,11,11,54.86147857982187,32,28,28,0,0,4,0,5,9,5,9,14,14,40.13896548741762,53.30296890880645,2.5,133.25742227201613,7.403190126223119,0.0177676563029354
454a1fda-c7ff-4427-ad51-925dfac691f8,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,10,10,85.42795887659749,43,23,23,13,0,7,13,4,11,6,11,15,17,46.05374780501028,66.41714012534482,2.0,132.83428025068963,7.379682236149424,0.0221390467084482
2eee0972-e37a-4025-96dc-93638a61b97d,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,7,7,87.22724257474648,51,24,28,14,0,9,14,3,6,4,7,9,11,20.264662506490406,34.86917501586544,1.75,61.02105627776452,3.3900586820980285,0.0116230583386218
c0036ec0-d04a-46a5-91e8-d4db92d18efb,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,13,13,81.73601933924922,63,29,29,23,0,11,23,4,11,6,11,15,17,46.05374780501028,66.41714012534482,2.0,132.83428025068963,7.379682236149424,0.0221390467084482
