Experiment ID,Model,Question,syntax_ok,max_cyclomatic_complexity,total_cyclomatic_complexity,maintainability_index,raw_loc,raw_lloc,raw_sloc,raw_comments,raw_multi,raw_blank,raw_single_comments,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_calculated_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
b1927876-a0ad-42b3-aba9-eb32657ecbd1,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,10.0,10.0,89.05013496487196,41,22,22,14,0,5,14,2,5,3,5,7,8,13.60964047443681,22.45883937646084,1.0,22.45883937646084,1.2477132986922683,0.0074862797921536
b1e8c4c3-629d-415b-8b98-1f1e86b227ce,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,8.0,8.0,88.84298921255231,43,23,23,15,0,5,15,2,5,3,5,7,8,13.60964047443681,22.45883937646084,1.0,22.45883937646084,1.2477132986922683,0.0074862797921536
1d90945c-8ef0-4d89-94b6-70af6e8cc164,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,11.0,11.0,88.91563204089536,42,22,22,14,0,6,14,2,5,3,5,7,8,13.60964047443681,22.45883937646084,1.0,22.45883937646084,1.2477132986922683,0.0074862797921536
98fd1252-c958-4618-b7cf-b6835c2cfe11,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12.0,12.0,87.1480888058823,44,22,22,16,0,6,16,2,6,4,7,8,11,17.509775004326936,33.0,1.1666666666666667,38.5,2.138888888888889,0.011
c5935342-55c5-4370-9628-7f1284798f4e,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12.0,12.0,86.61679710990383,46,23,23,16,0,7,16,3,7,4,7,10,11,24.40637195656669,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.0121804030145869
70383a3b-a7c3-4c3e-94ce-2a530057f8db,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,13.0,13.0,85.51720853349555,44,23,23,16,0,5,16,3,9,5,9,12,14,33.28421251514428,50.18947501009619,1.5,75.28421251514428,4.182456250841349,0.0167298250033653
69fe3167-075f-44a0-9950-a5fd4a00bd93,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,7.0,7.0,92.93695937502646,33,18,18,8,0,7,8,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
a8e7ab46-363a-44f2-9fec-3835c4470e60,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,11.0,11.0,89.0071514536606,42,22,22,13,0,7,13,2,5,3,5,7,8,13.60964047443681,22.45883937646084,1.0,22.45883937646084,1.2477132986922683,0.0074862797921536
0630c20f-d4a4-4e5c-b49b-afce8297b87f,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,10.0,10.0,88.18472309786635,40,20,20,14,0,6,14,3,7,4,7,10,11,24.40637195656669,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.0121804030145869
0968e09b-cae3-454d-bf1f-1a9181b586bd,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,7.0,7.0,92.88099543388456,34,19,19,10,0,6,9,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
eae8f832-78e0-479e-ba1e-788b69ca2902,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,10.0,10.0,79.90712179977318,36,26,26,5,0,5,5,3,7,4,7,10,11,24.40637195656669,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.0121804030145869
83baba33-3102-4864-a034-504e79752a40,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,9.0,9.0,89.67220993769146,40,21,21,13,0,6,13,2,5,3,5,7,8,13.60964047443681,22.45883937646084,1.0,22.45883937646084,1.2477132986922683,0.0074862797921536
54f161af-f150-4301-82fe-f3c35e916002,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,8.0,8.0,92.81268752995136,35,19,19,11,0,5,11,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
18725696-cfbd-4a09-8cb1-9629b02cbe24,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,19.0,19.0,74.428538710074,59,39,39,12,0,8,12,4,16,11,21,20,32,72.0,138.3016990363956,2.625,363.04195997053847,20.168997776141023,0.0461005663454652
a9a4867a-d5df-427d-92a3-9ba23b5527ed,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,5.0,5.0,92.2682424995922,38,21,21,12,0,5,12,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
6ec39fe3-6566-47e6-a4a2-9f64e5065303,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,8.0,8.0,86.77745162981505,44,22,22,14,0,8,14,4,9,5,9,13,14,36.52932501298081,51.80615605397529,2.0,103.6123121079506,5.75623956155281,0.0172687186846584
